ZIP_CODE,PO_NAME,STATE,Latitude,Longitude
28209,Charlotte,NC,35.1757180000001,-80.8540819999999
28210,Charlotte,NC,35.132841,-80.857837
28211,Charlotte,NC,35.173433,-80.798909
28212,Charlotte,NC,35.189651,-80.74436
28213,Charlotte,NC,35.2830550000001,-80.748849
28214,Charlotte,NC,35.28028,-80.9568069999999
28215,Charlotte,NC,35.2424258,-80.7047595
28216,Charlotte,NC,35.306112,-80.8786069999999
28217,Charlotte,NC,35.1641640000001,-80.8949759999999
28218,Charlotte,NC,35.213011,-80.781253
28219,Charlotte,NC,35.208761,-80.938802
28220,Charlotte,NC,35.1758430000001,-80.850951
28221,Charlotte,NC,35.29697,-80.799216
28222,Charlotte,NC,35.190894,-80.7968489999999
28223,Charlotte,NC,35.3019500000001,-80.730238
28224,Charlotte,NC,35.1495880000001,-80.8763639999997
28226,Charlotte,NC,35.1090804000001,-80.8195505
28227,Charlotte,NC,35.1809850000001,-80.673636
28228,Charlotte,NC,35.237868,-80.9144289999999
28229,Charlotte,NC,35.2028710000001,-80.7345749999998
28230,Charlotte,NC,35.2213750000001,-80.8336069999998
28231,Charlotte,NC,35.2213750000001,-80.8336069999998
28232,Charlotte,NC,35.2213750000001,-80.8336069999998
28233,Charlotte,NC,35.2213750000001,-80.8336069999998
28234,Charlotte,NC,35.2213750000001,-80.8336069999998
28235,Charlotte,NC,35.2213750000001,-80.8336069999998
28236,Charlotte,NC,35.2213750000001,-80.8336069999998
28237,Charlotte,NC,35.2213750000001,-80.8336069999998
28241,Charlotte,NC,35.1393262000001,-80.9857534
28242,Charlotte,NC,35.225467,-80.848022
28243,Charlotte,NC,35.239959,-80.9194849999998
28244,Charlotte,NC,35.225143,-80.84357
28246,Charlotte,NC,35.2272151,-80.8430697999997
28247,Charlotte,NC,35.0911224000001,-80.8444275999999
28253,Charlotte,NC,35.3231980000001,-80.782276
28254,Charlotte,NC,35.238205,-80.913069
28255,Charlotte,NC,35.2214349999999,-80.8335439999999
28256,Charlotte,NC,35.2794610000001,-80.76576
28258,Charlotte,NC,35.2362790000001,-80.9140539999999
28260,Charlotte,NC,35.2362800000001,-80.9140539999999
28262,Charlotte,NC,35.3248404000001,-80.7401732999999
28263,Charlotte,NC,35.226971,-80.8434309999998
28265,Charlotte,NC,35.2362810000001,-80.9140539999999
28266,Charlotte,NC,35.2376856,-80.9076548999999
28269,Charlotte,NC,35.3362125000001,-80.7971373999999
28270,Charlotte,NC,35.1177289999999,-80.7601989999999
28271,Charlotte,NC,35.054293,-80.770509
28272,Charlotte,NC,35.2362830000001,-80.9140539999999
28273,Charlotte,NC,35.1302144000001,-80.9442396
28274,Charlotte,NC,35.1882489,-80.8315101
28275,Charlotte,NC,35.236286,-80.9140539999999
28277,Charlotte,NC,35.0541440000001,-80.8119919999998
28278,Charlotte,NC,35.1222649999999,-81.0025209999999
28280,Charlotte,NC,35.2270810000001,-80.8432099999999
28281,Charlotte,NC,35.226221,-80.844464
28282,Charlotte,NC,35.2255870000001,-80.845349
28284,Charlotte,NC,35.2270490000001,-80.843313
28285,Charlotte,NC,35.224792,-80.846467
28287,Charlotte,NC,35.1481899,-80.8394622999999
28288,Charlotte,NC,35.2242020000001,-80.844871
28289,Charlotte,NC,35.2362870000001,-80.9140539999999
28290,Charlotte,NC,35.2362890000001,-80.9140539999999
28296,Charlotte,NC,35.236286,-80.9140539999999
28297,Charlotte,NC,35.2633050000001,-80.854651
28299,Charlotte,NC,35.2196950000001,-80.810917
